,year,policedistrict,Aggravated Assault,All Other Offenses,Arson,Burglary,Curfew Violations,DUI,Disorderly Conduct,Drug Violations,Embezzlement,Forcible Rape,Forgery,Fraud,Gambling,Larceny,Liquor Law Violations,Motor Vehicle Theft,Murder Non Negligent Manslaughter,Other Assaults,Other Family Offenses,Other Sex Offenses,Prostitution,Rape,Robbery,Runaways,Stolen Property,Vagrancy,Vandalism,Weapons
61,2001.0,Empire PD,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
62,2001.0,Englewood PD,68.0,927.0,0.0,18.0,0.0,315.0,166.0,253.0,0.0,6.0,32.0,22.0,0.0,213.0,62.0,13.0,1.0,0.0,35.0,2.0,1.0,,13.0,0.0,8.0,0.0,68.0,27.0
63,2001.0,Erie PD,3.0,110.0,0.0,2.0,0.0,76.0,7.0,11.0,0.0,0.0,0.0,3.0,0.0,10.0,15.0,2.0,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,8.0,2.0
64,2001.0,Estes Park PD,6.0,53.0,0.0,6.0,0.0,39.0,10.0,22.0,0.0,2.0,1.0,3.0,0.0,27.0,34.0,2.0,0.0,0.0,0.0,3.0,0.0,,0.0,0.0,0.0,0.0,8.0,3.0
65,2001.0,Evans PD,22.0,147.0,1.0,4.0,0.0,93.0,42.0,36.0,0.0,1.0,6.0,10.0,0.0,37.0,42.0,1.0,0.0,0.0,14.0,3.0,0.0,,6.0,0.0,1.0,0.0,13.0,5.0
66,2001.0,Federal Heights PD,5.0,341.0,1.0,6.0,0.0,208.0,24.0,64.0,1.0,0.0,7.0,6.0,0.0,93.0,66.0,9.0,0.0,0.0,4.0,1.0,0.0,,3.0,0.0,7.0,0.0,19.0,9.0
67,2001.0,Firestone PD,3.0,11.0,0.0,0.0,0.0,9.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0
68,2001.0,Flagler Marshal,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
69,2001.0,Florence PD,12.0,94.0,0.0,0.0,0.0,31.0,17.0,5.0,0.0,2.0,1.0,0.0,0.0,7.0,6.0,0.0,1.0,0.0,14.0,1.0,0.0,,0.0,0.0,0.0,0.0,5.0,0.0
70,2001.0,Fort Collins PD,67.0,942.0,6.0,36.0,0.0,861.0,1067.0,208.0,36.0,14.0,67.0,100.0,0.0,517.0,411.0,14.0,1.0,0.0,15.0,60.0,1.0,,20.0,0.0,7.0,2.0,133.0,41.0
