,county,school_dist,school_dist_code,pupil_count,stable_student_count,stability_rate,mobile_student_count,student_mobility_rate,instances_of_mobility,mobility_incidence_rate
160,WASHINGTON,ARICKAREE R-2,3040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161,WASHINGTON,OTIS R-3,3050.0,18.0,18.0,100.0,0.0,0.0,0.0,0.0
162,WASHINGTON,LONE STAR 101,3060.0,9.0,9.0,100.0,0.0,0.0,0.0,0.0
163,WASHINGTON,WOODLIN R-104,3070.0,6.0,6.0,100.0,0.0,0.0,0.0,0.0
164,WELD,WELD COUNTY RE-1,3080.0,83.0,68.0,81.9,15.0,18.1,15.0,18.1
165,WELD,EATON RE-2,3085.0,141.0,133.0,94.3,8.0,5.7,8.0,5.7
166,WELD,KEENESBURG RE-3(J),3090.0,135.0,121.0,89.6,14.0,10.4,14.0,10.4
167,WELD,WINDSOR RE-4,3100.0,207.0,188.0,90.8,19.0,9.2,19.0,9.2
168,WELD,JOHNSTOWN-MILLIKEN RE-5J,3110.0,192.0,172.0,89.6,20.0,10.4,20.0,10.4
169,WELD,GREELEY 6,3120.0,1225.0,1099.0,89.7,121.0,9.9,133.0,10.9
170,WELD,PLATTE VALLEY RE-7,3130.0,66.0,61.0,92.4,5.0,7.6,6.0,9.1
171,WELD,WELD COUNTY S/D RE-8,3140.0,117.0,103.0,88.0,14.0,12.0,16.0,13.7
172,WELD,AULT-HIGHLAND RE-9,3145.0,33.0,31.0,93.9,2.0,6.1,2.0,6.1
173,WELD,BRIGGSDALE RE-10,3146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
174,WELD,PRAIRIE RE-11,3147.0,7.0,5.0,71.4,2.0,28.6,2.0,28.6
175,WELD,PAWNEE RE-12,3148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176,YUMA,YUMA 1,3200.0,15.0,14.0,93.3,1.0,6.7,1.0,6.7
177,YUMA,WRAY RD-2,3210.0,23.0,21.0,91.3,2.0,8.7,2.0,8.7
178,YUMA,IDALIA RJ-3,3220.0,5.0,5.0,100.0,0.0,0.0,0.0,0.0
179,YUMA,LIBERTY J-4,3230.0,4.0,4.0,100.0,0.0,0.0,0.0,0.0
180,DENVER,CHARTER SCHOOL INSTITUTE,8001.0,343.0,172.0,50.1,169.0,49.3,174.0,50.7
181,COLORADO BOCS,MOUNTAIN BOCES,9030.0,1.0,1.0,100.0,0.0,0.0,1.0,100.0
182,COLORADO BOCS,CENTENNIAL BOCES,9035.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183,COLORADO BOCS,SAN JUAN BOCES,9050.0,3.0,0.0,0.0,3.0,100.0,3.0,100.0
184,COLORADO BOCS,EXPEDITIONARY BOCES,9130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
